Description,Price,ReviewCount,Url,Website Source
"Dell Latitude 5410 14"" FHD Laptop Intel i5-10310U 1.7GHz 16GB 256GB W10P - Manufacturer Refurbished",$199.99,1,https://www.target.com/p/dell-latitude-5410-14-fhd-laptop-intel-i5-10310u-1-7ghz-16gb-256gb-w10p-manufacturer-refurbished/-/A-93839825#lnk=sametab,Target
"Dell Inspiron 15 3520 15.6” Full HD Touchscreen Laptop, Intel Core i5-1235U, 8GB RAM, 512GB SSD, Windows 11 Home",$459.99,1,https://www.target.com/p/dell-inspiron-15-3520-15-6-full-hd-touchscreen-laptop-intel-core-i5-1235u-8gb-ram-512gb-ssd-windows-11-home/-/A-92302925#lnk=sametab,Target
"Dell Latitude 7420 14"" FHD Laptop Intel Core i7-1165G7 16GB Ram 512GB SSD Windows 11 Professiona - Manufacturer Refurbished",$397.69,,https://www.target.com/p/dell-latitude-7420-14-fhd-laptop-intel-core-i7-1165g7-16gb-ram-512gb-ssd-windows-11-professiona-manufacturer-refurbished/-/A-92748941#lnk=sametab,Target
"Dell 5400 Laptop, Core i5-8265U 1.6GHz, 8GB, 256GB SSD, 14"" HD, Win11P64, Webcam, Manufacturer Refurbished",$299.99,,https://www.target.com/p/dell-5400-laptop-core-i5-8265u-1-6ghz-8gb-256gb-ssd-14-hd-win11p64-a-grade-webcam-manufacturer-refurbished/-/A-90374200#lnk=sametab,Target
"Dell Precision 5550 15.6"" Laptop Intel i7-10850H QUADRO T1000 32GB 512GB SSD W10P - Manufacturer Refurbished",$599.99,,https://www.target.com/p/dell-precision-5550-15-6-laptop-intel-i7-10850h-quadro-t1000-32gb-512gb-ssd-w10p-manufacturer-refurbished/-/A-1000487977#lnk=sametab,Target
"Dell Latitude 7400 14"" Laptop Intel Core i5 1.60 GHz 16 GB 256 GB SSD W10P - Manufacturer Refurbished",$229.99,,https://www.target.com/p/dell-latitude-7400-14-laptop-intel-core-i5-1-60-ghz-16-gb-256-gb-ssd-w10p-manufacturer-refurbished/-/A-91295009#lnk=sametab,Target
"Dell Inspiron 16 7640 16"" WUXGA 2-in-1 Touchscreen Laptop, Intel Core Ultra 7 155H, 16GB RAM, 1TB SSD, Intel Arc Graphics, Windows 11 Home",$919.99,1,https://www.target.com/p/dell-inspiron-16-7640-16-wuxga-2-in-1-touchscreen-laptop-intel-core-ultra-7-155h-16gb-ram-1tb-ssd-intel-arc-graphics-windows-11-home/-/A-1000553638#lnk=sametab,Target
"Dell Latitude 5310 13.3"" Laptop Intel Core i7-10810U 16GB 256 GB SSD W10P - Manufacturer Refurbished",$359.99,,https://www.target.com/p/dell-latitude-5310-13-3-laptop-intel-core-i7-10810u-16gb-256-gb-ssd-w10p-manufacturer-refurbished/-/A-1000487968#lnk=sametab,Target
"Dell Latitude 5490 14"" Laptop Core i5 1.70 GHz 16 GB 256 GB SSD Windows 10 Pro - Manufacturer Refurbished",$239.99,1,https://www.target.com/p/dell-latitude-5490-14-laptop-core-i5-1-70-ghz-16-gb-256-gb-ssd-windows-10-pro-manufacturer-refurbished/-/A-90458204#lnk=sametab,Target
"Dell Latitude 7420 14"" FHD Touch LT Intel i7-1185G7 1.8GHz 32GB 256GB W11P - Manufacturer Refurbished",$409.99,,https://www.target.com/p/dell-latitude-7420-14-fhd-touch-lt-intel-i7-1185g7-1-8ghz-32gb-256gb-w11p-manufacturer-refurbished/-/A-91588842#lnk=sametab,Target
"Dell 7390 Laptop, Core i7-8650U 1.9GHz, 16GB, 256GB SSD, 13.3"" FHD, Win11P64, Webcam, Manufacturer Refurbished",$349.99,,https://www.target.com/p/dell-7390-laptop-core-i7-8650u-1-9ghz-16gb-256gb-ssd-13-3-fhd-win11p64-webcam-a-grade-manufacturer-refurbished/-/A-89441093#lnk=sametab,Target
"Dell Latitude 7410 14"" FHD Laptop Intel i5-10310U 16GB 512GB W10P - Manufacturer Refurbished",$227.99,,https://www.target.com/p/dell-latitude-7410-14-fhd-laptop-intel-i5-10310u-16gb-512gb-w10p-manufacturer-refurbished/-/A-92696867#lnk=sametab,Target
"Dell Inspiron 14” FHD+ (1920 x 1200) 2-in-1 Touchscreen Laptop, AMD Ryzen 5 8640HS, 8GB RAM, 512GB SSD, Windows 11 Home",$559.99,,https://www.target.com/p/dell-inspiron-14-fhd-1920-x-1200-2-in-1-touchscreen-laptop-amd-ryzen-5-8640hs-8gb-ram-512gb-ssd-windows-11-home/-/A-1001181356#lnk=sametab,Target
"Dell Latitude 7420 14"" FHD Intel Core i5-1145G7 256GB 8GB W11P - Manufacturer Refurbished",$219.99,,https://www.target.com/p/dell-latitude-7420-14-fhd-intel-core-i5-1145g7-256gb-8gb-w11p-manufacturer-refurbished/-/A-93638148#lnk=sametab,Target
"Dell Latitude 5410 14"" Laptop Intel Core i5-10310U 16GB 256 GBSSD Windows 10 Pro - Manufacturer Refurbished",$339.99,,https://www.target.com/p/dell-latitude-5410-14-laptop-intel-core-i5-10310u-16gb-256-gbssd-windows-10-pro-manufacturer-refurbished/-/A-94246507#lnk=sametab,Target
"Dell Latitude 5450 Touch 14"" Laptop Intel Core Ultra 5 135U 16GB 256GB SSD W11P - Manufacturer Refurbished",$699.99,,https://www.target.com/p/dell-latitude-5450-touch-14-laptop-intel-core-ultra-5-135u-16gb-256gb-ssd-w11p-manufacturer-refurbished/-/A-94246500#lnk=sametab,Target
