Title,SubTitle,Rating,ItemPrice,TrendingPrice,ItemLink
"SAMSUNG S29E790C ULTRA-WIDE CURVED FHD MONITOR 29"" HDMI GAMING 2560X1080 4 MS",💥 Immerse in UltraWide Clarity 💥 Very Good - Refurbished,None,$146.47,None,https://www.ebay.com/itm/395782366916?_skw=ultrawide+monitor&hash=item5c2677a6c4:g:mNYAAOSwk3NmbMKU&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKl3AwxptB8A0Gj1elLyc2mnO48%2FZFC5qU1v2LdzDJqRffaiJ%2F0MQmOG9lSi5kSgF3eZ3oHNxcUJcm2R50fjoy1HVHBP1kJEsM9WPZSYVVDFIQuFEgxPyHejf%2Bdei5tZA751r2mcGl3OCwS%2F%2BLuhPFeOHV07uAGbFnJdBMax5QKYc8x3GkF75a8zsNzOG3olXjAlxd0IlAqAdeT3YuDCveJT%2FhxX9A3fr5XJ%2BROmMj9bDBlVSba3tXGWoqd470%2BXD9XaGbdBvn2ncD9kCBPgBd7W55KiS5rlh8e3u2Th5FXMKg%3D%3D%7Ctkp%3ABFBM2M2H7Ypl
Open Box LG 34WP50S-W 34in UltraWide 1080p FHD HDR IPS Monitor w/ AMD FreeSync, Open Box,None,$196.19,$217.99,https://www.ebay.com/itm/335384749102?_skw=ultrawide+monitor&hash=item4e167d242e:g:15IAAOSw1q5mO79t&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKk6crn5yB9OWFVxix7DA8jJwM3CEzW%2Fme7EdIj%2BY6s6og%2FgAOsu5izpQkFYjBJcGNdXTXxdVYpIi2zzdJsAX0Ys9OIX%2B7xBWlwEWYj9O%2BG3PRjqZhZHq3A1UBgU7zypFlWRg0i7qiWd3Ue75gsxbKXF67v%2FTXQ6MKLkpJnked7VJw05FjeFnZtdDbkCLIOhB7vriVPTfe0R%2Bi0v%2BnqByid3JnEyZHjN9u6knzApWXBOfORu6IEOEPnKekQXRLHRYMUa0ioBy0Jmm7defJ6Az4Eq2%2FQ7CG4mxuk5An37QiSOVA%3D%3D%7Ctkp%3ABFBM2M2H7Ypl
"LG 29"" HDMI Gaming Monitor FHD 29UB67 LED Backlit Ultrawide Speakers - No STAND", Good - Refurbished,5.0 out of 5 stars.,$146.47,None,https://www.ebay.com/itm/226360352347?_skw=ultrawide+monitor&epid=2004356435&hash=item34b420de5b:g:JQQAAOSwrX9m7Bj2&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKn3TA87UWSoz8k8D0YTs1BBJ7r33fp4ccXulAAtg06FbS4ZAfGMm%2BeOYPVEuDPrTNbUMDvg%2BFxK%2F%2BugNg1Pc20vfusk3aT3%2BA0XVn5%2Fy0EC2OMQ2jtsADy9WB69FGaNwwF5iDtoBeXs%2FcwL2A6pqrgVlDX6lFA4F5WzD%2FXo6MDfFvlgtNseV8o41wjt%2BoxN5eCJgml2ltIRO2oMtf%2F2ABRFBlJMKL8HfGtOdUP2Ofd78jfRMIbdQ7XtsHBSOVGh7y9kUx%2BL05WTOEr9nv6uF%2BVZol19%2Bj%2Fa%2FJcwQJXZJreJcw%3D%3D%7Ctkp%3ABFBM2M2H7Ypl
"LG 29WQ600-W 29"" 21:9 UltraWide 2560 x 1080 IPS Monitor with AMD FS HDR & USB C", Brand New,None,$149.99,None,https://www.ebay.com/itm/305807545861?_skw=ultrawide+monitor&epid=26066620608&hash=item47338cd605:g:NIIAAOSwNhVm9jqU&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKmr%2F75M3ALb%2Be73p1VHWgLZVaz4feK0GdmlJZk2Ir7tML%2FpHI8XRb50IHB9YMGjd%2BmRcDgrpdD9a4J5UeeFElgxABMt9suSqYdoizNPCs7fvoxlzXOCjdvGLvSTxtMAwkgw%2F2FZpW0msX%2F6Zbli%2FErQhylWAOVEiTObfTJwBgQ8hGuG0ACGXett7F9IbdyKgCLephX7Eipf6qTdTLY4KOYBsSK3b2OF28Tj%2FwgBdQN9jH0QFEAdrBqxEqLTVVHMvXvsP%2BMVqjbkAPfdjJZrFI--hpXT3VwdPdDxkLOFmH1Dbg%3D%3D%7Ctkp%3ABFBM2M2H7Ypl
LG ULTRA WIDE CURVED MONITOR 34 INCH 34WQ60C / Open Box/ Black, Open Box,None,$93.00,None,https://www.ebay.com/itm/316103597193?_skw=ultrawide+monitor&hash=item49993e1c89:g:9zEAAOSwo-BneBzv&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKnECay41%2FmirHRitjcvOIp6NjNQLearBtlHpif3Pi%2BQW5dJLYqdaTdDz8WtVmDTDpU7Cu12xgb8FXLpwd5bbkpXWVQW%2BEbCXqWbqMISUyv2N5DzHdJdV9YnKFvhl9wMvXiGoavzNRa7lrFbrAbptqA2IXtaxRtlJMkC01tRyGVWUnb0uEN96kagpyXHB1jUoVbYlKhXV9Pg2TDoheyAOOfr0jwLNNUqPfZRb6EU%2BY8YkU%2BKt1vjB3qQB0viMaH8aks%3D%7Ctkp%3ABk9SR9rNh-2KZQ
"onn. 34"" Curved Ultrawide WQHD (3440 x 1440p) 100Hz Bezel-Less Office Monitor", Parts Only,4.5 out of 5 stars.,$30.00,None,https://www.ebay.com/itm/387769592875?_skw=ultrawide+monitor&epid=9066075343&hash=item5a48de6c2b:g:VYYAAOSwa3FnUINv&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKlhu0RoTVTu%2Bb%2FSFBzWS6jQttDjO%2F98J59%2Bf%2BOSLIdOqDfd6x%2F5IJh3guKzRvKkIrcvmL9gIVyPpJ3%2BDNv080GndZW4CINpcOEjUuC3EgtyD%2FT%2BJzMm2Cruymog09vOOsGxJEteO2ywiv%2F2rPgn7pHg3ubk71%2BBG9XOysyo5teiLmnylYWvOK1kLM9A8E8ZHivlsjoni7eD3BCcQa%2B7GBzdvAgUXJKhPpMNRCezntf%2BEgBkeEEqYxglu7KxGSy3MXYKKh5WL0BNyXUZSzX4fL2PTCv%2FJCZd80mCA96SipvyTw%3D%3D%7Ctkp%3ABk9SR9rNh-2KZQ
Samsung business 34inch wide curved screen (3440 x 1440) HDMI and DP, Pre-Owned,None,$86.67,None,https://www.ebay.com/itm/196929913596?_skw=ultrawide+monitor&hash=item2dd9f002fc:g:tgkAAOSwZidnek1X&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKnZYTnzA0q92gZaSY%2FS3YR%2FJp%2FGGO4%2BpEv8BZQaClOny0AM6bCWm4MSToZqiSxsI0PJkEbjLckYRvL72k4gkEMtbCS9mAT89Mp0%2BW5XyOIUlfcLZxlM3gdTTKyS3bfNM8JX2xGx%2FMbpO2G3JsCCN0nCTishP0leaKi84ydTZJS2z%2Fejuagh2D%2FSchAX73DYB5%2FxRobR0weNjaqbbnsid%2F8DvNINHaGVmkFX3ETvsY3Ht0uODr8H8PosdEAJdCJXQQM%3D%7Ctkp%3ABk9SR9rNh-2KZQ
Cooler Master 34-Inch 1500R Curved ARGB UWQHD 3440 x 1440 Gaming Monitor,Free Shipping! Get It Fast! Brand New,None,$259.99,$499.99,https://www.ebay.com/itm/375430184124?_skw=ultrawide+monitor&epid=14054809464&hash=item576961fcbc:g:1icAAOSw-rhnWzeK&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKkASizi%2BbAkYub2YGiDOnAPZeWMXwgzi%2F35ObAI%2BLrYk5nVaWH5EvRYl0IvS2BAbmwFA1lTIHythz6tIBR3Pg2qFoDmFmY2QHvoCcM68warQefTg9b9jHziTHtJycGCoT6aJ9F6%2FnpbRlX2SSCn3QH1W2OiHh8Gv75L2JfeSGxCOZYxhuWQHPGjbryuDfjQFIUQYp%2BvGeOBvxnqqhkmSKw0ZXNHn3YxuCZ%2BHS8IbNg70oQPVwrsjk%2B%2FGNgznWwNfgw%3D%7Ctkp%3ABk9SR9rNh-2KZQ
TCL 34R83Q  34” Ultrawide Monitor QLED QD mini LED HDR 1400, New (Other),None,$665.86,None,https://www.ebay.com/itm/286205268954?_skw=ultrawide+monitor&hash=item42a329d3da:g:TjUAAOSwB4tnVdGj&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKmkr9WOgGLo%2BYrwdeHwmCtCejJC5%2BEbSjcduNb4d%2FclH5teqEPyfq6YNIp%2F5IjMLzZYqxJ3O132k0QtCzC3io1lj2sGulnooIUZsZVBwk%2BxlDBQXmV19SJB6Y%2FdPPwqVxPoaj0dNFCgEODgTuntMikRi81V6CaiyKIlRehR5dG%2BcLw2zntItZOcC64TZ%2Fd7fNkM6IRgfEjCpqfxvwb8ZY7l%2BxeYodr5p2ch%2F302W%2Fd9GqOUwiMxxyP%2FT5vpRjU2YwQ%3D%7Ctkp%3ABk9SR9rNh-2KZQ
"LG 34WQ73A-B 34"" Curved UltraWide QHD IPS HDR10 Built-in KVM Monitor", Pre-Owned,None,$188.55,None,https://www.ebay.com/itm/396110447053?_skw=ultrawide+monitor&epid=2328481400&hash=item5c3a05c1cd:g:tRQAAOSwBG5lQ~-M&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKm8e1tnj5SvI%2B5CjK%2BvFITRW0x1w1ptAlXCnlV6eqLpJvGrRPKIxtCsVXJXYRiR%2BsbM%2FUbn0IJRnRL48Ud2bPeP%2FCY5vFXd9ljq2uI1t%2FmlSM594lckVkQ1SXmrjJYG1eYFKSKaXZTbcnXSZuj2mI7a1rWQnrhhQRIis3Y1BsmKtvCHBjSNU%2B%2F7dEEIi%2B%2BUS9F%2B23o0nRz2eoWO8zS3qoYHggeSLlDrPiS27yIffmP49Zgn%2BnGCDVnjruy0yT1deaRR50ETqrBmDs%2BZo0PJIUT23eJ%2BjISAnvueUetRKIlj5g%3D%3D%7Ctkp%3ABk9SR9rNh-2KZQ
